N,Avg Exec Time
8390000,1636231.9
8400000,1650006.3
8410000,1637743.9
8420000,1656554.1
8430000,1639527.9
8440000,1655708.5
8450000,1641823.8
8460000,1650051.6
8470000,1657977.5
8480000,1657040.7
8490000,1657663.3
8500000,1689915.0
8510000,1654766.8
8520000,1672280.8
8530000,1664327.3
8540000,1670880.9
8550000,1685496.5
8560000,1673925.2
8570000,1677941.2
8580000,1669242.0
8590000,1683053.0
8600000,1672700.6
8610000,1681438.4
8620000,1690284.2
8630000,1691695.7
8640000,1698927.7
8650000,1694915.8
8660000,1701650.3
8670000,1690752.3
8680000,1705058.7
8690000,1707321.9
8700000,1703040.6
8710000,1701127.0
8720000,1706029.8
8730000,1715524.4
8740000,1694360.4
8750000,1720338.9
8760000,1703310.6
8770000,1717465.5
8780000,1724117.2
8790000,1734462.2
8800000,1714787.9
8810000,1718220.5
8820000,1738743.6
8830000,1720369.2
8840000,1760677.6
8850000,1738406.8
8860000,1748204.4
8870000,1736317.2
8880000,1747883.4
8890000,1753443.7
8900000,1735425.3
8910000,1757057.3
8920000,1763177.2
8930000,1759300.4
8940000,1744520.4
8950000,1753497.6
8960000,1770094.3
8970000,1870204.9
